type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop
Audio,0.0,19.12,default,default,,,,~/Documents/Projects/tribe-fmri-fnirs/exp2/stimulus/bumboTarol_neutral.wav,44100.0,0.0,19.12
Video,0.0,19.12,default,default,,,,~/Documents/Projects/tribe-fmri-fnirs/exp2/stimulus/bumboTarol_neutral.mp4,25.0,0.0,19.12
