,0
timestep,126.00661358304438
start_s,126.00661358304438
vertex_0,0.06616204206319934
vertex_1,0.13183143459635493
vertex_2,0.041362153853353435
vertex_3,0.08269348998757083
vertex_4,0.07312451784168705
vertex_5,0.06196402310026447
vertex_6,0.2704303869588126
vertex_7,0.09183489030673657
vertex_8,0.0336524080681364
vertex_9,0.058631744867286104
vertex_10,0.1447961131568879
vertex_11,0.05631534071795433
vertex_12,0.04718147375845253
vertex_13,0.11291225342454017
vertex_14,0.0499111478595911
vertex_15,0.04435231614058614
vertex_16,0.07704700913778692
vertex_17,0.046995837144398776
vertex_18,0.09260531664609507
vertex_19,0.042341158704282275
vertex_20,0.049020375683073776
vertex_21,0.08688125640585656
vertex_22,0.047365903094291624
vertex_23,0.039067667180991104
vertex_24,0.040052749642144336
vertex_25,0.01988479729500067
vertex_26,0.11159318767005731
vertex_27,0.06954522362255411
vertex_28,0.0370600019365459
vertex_29,0.09787728924911925
vertex_30,0.10551222076455229
vertex_31,0.0966711297403296
vertex_32,0.24173571783044986
vertex_33,0.13947278783747613
vertex_34,0.2835009852708914
vertex_35,0.03822903882041511
vertex_36,0.04562453228842951
vertex_37,0.06456488785431161
vertex_38,0.023794179622760567
vertex_39,0.07375212808939724
vertex_40,0.19394536266642395
vertex_41,0.07964425355789152
vertex_42,0.087819946621157
vertex_43,0.09794651469452101
vertex_44,0.14301278483547888
vertex_45,0.04178454235514126
vertex_46,0.04835382812800218
vertex_47,0.06183156085980935
vertex_48,0.062196370945972634
vertex_49,0.057218726052971916
vertex_50,0.052122749700524176
vertex_51,0.08670647783589788
vertex_52,0.024016873244230977
vertex_53,0.11267913154017997
vertex_54,0.03734900795133031
vertex_55,0.08548525359184561
vertex_56,0.053635784611138944
vertex_57,0.05266318530017295
vertex_58,0.054573384143652724
vertex_59,0.07308286456076604
vertex_60,0.046328117512461284
vertex_61,0.07689647281918742
vertex_62,0.04569432887422438
vertex_63,0.05459494897154325
vertex_64,0.04809605835447091
vertex_65,0.130393161514427
vertex_66,0.06227709852174301
vertex_67,0.07861617929383179
vertex_68,0.037297842036834526
vertex_69,0.08336557740786588
vertex_70,0.21188940323409108
vertex_71,0.1651975491111201
vertex_72,0.07868768724543897
vertex_73,0.08304132018392714
vertex_74,0.0708276333028077
vertex_75,0.0924092105004498
vertex_76,0.09953013265869105
vertex_77,0.031379831665088724
vertex_78,0.04021072061224836
vertex_79,0.03336691164046223
vertex_80,0.043377557981766034
vertex_81,0.05949917774016429
vertex_82,0.03903513750729474
vertex_83,0.15122384546914533
vertex_84,0.042355179756702326
vertex_85,0.08951495558412563
vertex_86,0.2725510745682186
vertex_87,0.3385725917206791
vertex_88,0.2404726989035114
vertex_89,0.05034239120769273
vertex_90,0.06005053757016431
vertex_91,0.11949382402228588
vertex_92,0.0634676567236563
vertex_93,0.08394657081481305
vertex_94,0.07829577875996088
vertex_95,0.03088119689088385
vertex_96,0.06579723670788523
vertex_97,0.13364940115902965
vertex_98,0.11677759050687014
vertex_99,0.07819025386940923
vertex_100,0.03552604354877359
vertex_101,0.076643343977765
vertex_102,0.12995604697761973
vertex_103,0.1398586743061432
vertex_104,0.13116351271134044
