rank,roi,name,network,n_vertices,mean_abs_diff,mean_signed_diff,mean_act_bumbo,mean_act_tarol
57,131,7Networks_RH_SomMot_16,SomMot,94,0.018926525488495827,0.016508234664797783,0.04960887134075165,0.03310063108801842
58,75,7Networks_LH_Default_Temp_2,Default,113,0.018604043871164322,0.01758713088929653,-0.20681312680244446,-0.22440025210380554
59,74,7Networks_LH_Default_Temp_1,Default,130,0.018275484442710876,0.01616811379790306,-0.27870863676071167,-0.2948767840862274
60,7,7Networks_LH_Vis_7,Vis,111,0.01824055425822735,0.011581359431147575,-0.18194815516471863,-0.19352950155735016
61,13,7Networks_LH_Vis_13,Vis,143,0.018158001825213432,0.009491752833127975,-0.014260216616094112,-0.023751968517899513
62,91,7Networks_LH_Default_PFC_9,Default,53,0.018156105652451515,0.014189720153808594,-0.08711867034435272,-0.10130839049816132
63,173,7Networks_RH_Cont_PFCl_4,Cont,116,0.01812225952744484,0.016721094027161598,-0.004842069931328297,-0.02156316488981247
64,85,7Networks_LH_Default_PFC_3,Default,84,0.01811111532151699,0.016524938866496086,-0.06684526056051254,-0.08337019383907318
65,94,7Networks_LH_Default_PFC_12,Default,88,0.017585255205631256,0.016344653442502022,-0.07397238910198212,-0.09031704068183899
66,195,7Networks_RH_Default_PFCdPFCm_5,Default,45,0.01744508557021618,0.016749784350395203,-0.10564982146024704,-0.12239959836006165
67,110,7Networks_RH_Vis_10,Vis,75,0.017274558544158936,0.01324595045298338,0.013769920915365219,0.0005239713354967535
68,97,7Networks_LH_Default_pCunPCC_2,Default,108,0.01726289838552475,0.01668931357562542,-0.15567325055599213,-0.1723625808954239
69,98,7Networks_LH_Default_pCunPCC_3,Default,72,0.017201397567987442,0.016160644590854645,-0.0614933967590332,-0.07765404134988785
70,183,7Networks_RH_Default_Par_2,Default,135,0.017100131139159203,0.015025164932012558,-0.08886571228504181,-0.10389087349176407
71,190,7Networks_RH_Default_PFCv_1,Default,101,0.017004799097776413,0.016929378733038902,-0.10104549676179886,-0.11797486990690231
72,186,7Networks_RH_Default_Temp_2,Default,96,0.016957253217697144,0.015684686601161957,-0.16724777221679688,-0.18293248116970062
73,138,7Networks_RH_DorsAttn_Post_4,DorsAttn,73,0.016951123252511024,0.015099846757948399,0.05778633430600166,0.04268649220466614
74,53,7Networks_LH_SalVentAttn_Med_2,SalVentAttn,106,0.016830654814839363,0.01577332615852356,-0.015767527744174004,-0.031540852040052414
75,109,7Networks_RH_Vis_9,Vis,105,0.01665675826370716,0.0054184733889997005,-0.01411825604736805,-0.019536729902029037
76,89,7Networks_LH_Default_PFC_7,Default,100,0.016568880528211594,0.015687666833400726,-0.10682803392410278,-0.1225157231092453
77,132,7Networks_RH_SomMot_17,SomMot,93,0.016461480408906937,0.015750978142023087,0.009374401532113552,-0.0063765752129256725
78,28,7Networks_LH_SomMot_14,SomMot,107,0.01645602099597454,0.014838537201285362,0.019876979291439056,0.005038443487137556
79,84,7Networks_LH_Default_PFC_2,Default,103,0.01634833961725235,0.015270289964973927,-0.051575977355241776,-0.06684626638889313
80,88,7Networks_LH_Default_PFC_6,Default,91,0.016342075541615486,0.015168187208473682,-0.020596375688910484,-0.03576456755399704
81,78,7Networks_LH_Default_Temp_5,Default,140,0.016125435009598732,0.014330307021737099,-0.3115486800670624,-0.3258790075778961
82,4,7Networks_LH_Vis_4,Vis,99,0.01612137071788311,0.011585686355829239,0.018957065418362617,0.00737138232216239
83,93,7Networks_LH_Default_PFC_11,Default,64,0.016080478206276894,0.01436461228877306,-0.06726184487342834,-0.08162645995616913
84,46,7Networks_LH_SalVentAttn_ParOper_3,SalVentAttn,140,0.015958745032548904,0.012121040374040604,0.03476667404174805,0.022645629942417145
85,129,7Networks_RH_SomMot_14,SomMot,75,0.015951188281178474,0.014873757027089596,0.08207711577415466,0.06720335781574249
86,120,7Networks_RH_SomMot_5,SomMot,68,0.01577230542898178,-0.0018197549507021904,0.02244890108704567,0.024268655106425285
87,163,7Networks_RH_Limbic_TempPole_2,Limbic,103,0.015689240768551826,0.014477821998298168,-0.1019744798541069,-0.11645229160785675
88,72,7Networks_LH_Cont_Cing_1,Cont,58,0.015621518716216087,0.005963003728538752,-0.05378926545381546,-0.059752270579338074
89,95,7Networks_LH_Default_PFC_13,Default,66,0.015490539371967316,0.012614713050425053,-0.0667182058095932,-0.07933291792869568
90,25,7Networks_LH_SomMot_11,SomMot,97,0.015447229146957397,0.011808891780674458,0.04903174564242363,0.03722284734249115
91,116,7Networks_RH_SomMot_1,SomMot,63,0.01542900875210762,-0.00039342904346995056,-0.09952888637781143,-0.09913546591997147
92,43,7Networks_LH_DorsAttn_PrCv_1,DorsAttn,84,0.015381845645606518,0.013574407435953617,0.005097914021462202,-0.008476493880152702
93,130,7Networks_RH_SomMot_15,SomMot,72,0.01530019473284483,0.013048137538135052,0.061665602028369904,0.04861746355891228
94,29,7Networks_LH_SomMot_15,SomMot,173,0.01518684159964323,0.01310213003307581,0.00941130705177784,-0.0036908246111124754
95,128,7Networks_RH_SomMot_13,SomMot,52,0.01516595110297203,0.01254852581769228,0.053485844284296036,0.040937311947345734
96,96,7Networks_LH_Default_pCunPCC_1,Default,80,0.015150544233620167,0.012804051861166954,-0.07624108344316483,-0.08904513716697693
97,82,7Networks_LH_Default_Par_4,Default,162,0.0151007529348135,0.01297290250658989,-0.06696780025959015,-0.07994071394205093
98,199,7Networks_RH_Default_pCunPCC_2,Default,97,0.015020094811916351,0.014260961674153805,-0.18264007568359375,-0.19690105319023132
99,147,7Networks_RH_DorsAttn_PrCv_1,DorsAttn,76,0.015000306069850922,0.010721825994551182,0.04877232015132904,0.03805050253868103
100,83,7Networks_LH_Default_PFC_1,Default,87,0.014998511411249638,0.012768859043717384,-0.03326369449496269,-0.04603254795074463
101,65,7Networks_LH_Cont_OFC_1,Cont,91,0.014991859905421734,0.012929379008710384,-0.04865270480513573,-0.06158209964632988
102,66,7Networks_LH_Cont_PFCl_1,Cont,93,0.014974004589021206,0.012171145528554916,-0.05856705084443092,-0.07073819637298584
103,177,7Networks_RH_Cont_pCun_1,Cont,87,0.014949060045182705,0.0040917424485087395,-0.034405048936605453,-0.038496796041727066
104,181,7Networks_RH_Cont_PFCmp_2,Cont,83,0.014820501208305359,0.013429681770503521,-0.10247582197189331,-0.1159055233001709
105,12,7Networks_LH_Vis_12,Vis,87,0.014793245121836662,0.009406537748873234,-0.025510670617222786,-0.034917205572128296
106,137,7Networks_RH_DorsAttn_Post_3,DorsAttn,74,0.014775371178984642,0.012553948909044266,0.08661201596260071,0.07405807822942734
107,150,7Networks_RH_SalVentAttn_TempOccPar_3,SalVentAttn,131,0.014711913652718067,0.011578011326491833,0.11280807852745056,0.10123006999492645
108,69,7Networks_LH_Cont_PFCl_4,Cont,140,0.014680142514407635,0.012792034074664116,-0.08703490346670151,-0.09982693940401077
